Ano,SE,cidade,dengue
2004,45,Acrelandia,0
2004,46,Acrelandia,0
2004,47,Acrelandia,0
2004,48,Acrelandia,0
2004,49,Acrelandia,0
2004,50,Acrelandia,0
2004,51,Acrelandia,0
2004,52,Acrelandia,0
2005,1,Acrelandia,1
2005,2,Acrelandia,1
2005,3,Acrelandia,5
2005,4,Acrelandia,0
2005,5,Acrelandia,1
2005,6,Acrelandia,2
2005,7,Acrelandia,2
2005,8,Acrelandia,6
2005,9,Acrelandia,8
2005,10,Acrelandia,4
2005,11,Acrelandia,3
2005,12,Acrelandia,0
2005,13,Acrelandia,1
2005,14,Acrelandia,0
2005,15,Acrelandia,0
2005,16,Acrelandia,0
2005,17,Acrelandia,0
2005,18,Acrelandia,0
2005,19,Acrelandia,0
2005,20,Acrelandia,0
2005,21,Acrelandia,0
2005,22,Acrelandia,0
2005,23,Acrelandia,0
2005,24,Acrelandia,0
2005,25,Acrelandia,0
2005,26,Acrelandia,0
2005,27,Acrelandia,0
2005,28,Acrelandia,0
2005,29,Acrelandia,0
2005,30,Acrelandia,0
2005,31,Acrelandia,0
2005,32,Acrelandia,0
2005,33,Acrelandia,0
2005,34,Acrelandia,0
2005,35,Acrelandia,0
2005,36,Acrelandia,0
2005,37,Acrelandia,0
2005,38,Acrelandia,0
2005,39,Acrelandia,0
2005,40,Acrelandia,0
2005,41,Acrelandia,0
2005,42,Acrelandia,0
2005,43,Acrelandia,0
2005,44,Acrelandia,0
2005,45,Acrelandia,0
2005,46,Acrelandia,0
2005,47,Acrelandia,0
2005,48,Acrelandia,0
2005,49,Acrelandia,0
2005,50,Acrelandia,0
2005,51,Acrelandia,0
2005,52,Acrelandia,0
2006,1,Acrelandia,0
2006,2,Acrelandia,0
2006,3,Acrelandia,0
2006,4,Acrelandia,0
2006,5,Acrelandia,0
2006,6,Acrelandia,0
2006,7,Acrelandia,0
2006,8,Acrelandia,0
2006,9,Acrelandia,0
2006,10,Acrelandia,0
2006,11,Acrelandia,0
2006,12,Acrelandia,0
2006,13,Acrelandia,0
2006,14,Acrelandia,1
2006,15,Acrelandia,0
2006,16,Acrelandia,0
2006,17,Acrelandia,0
2006,18,Acrelandia,0
2006,19,Acrelandia,0
2006,20,Acrelandia,0
2006,21,Acrelandia,0
2006,22,Acrelandia,0
2006,23,Acrelandia,0
2006,24,Acrelandia,0
2006,25,Acrelandia,0
2006,26,Acrelandia,0
2006,27,Acrelandia,0
2006,28,Acrelandia,0
2006,29,Acrelandia,1
2006,30,Acrelandia,0
2006,31,Acrelandia,0
2006,32,Acrelandia,0
2006,33,Acrelandia,0
2006,34,Acrelandia,0
2006,35,Acrelandia,0
2006,36,Acrelandia,0
2006,37,Acrelandia,0
2006,38,Acrelandia,0
2006,39,Acrelandia,0
2006,40,Acrelandia,0
2006,41,Acrelandia,0
2006,42,Acrelandia,0
2006,43,Acrelandia,0
2006,44,Acrelandia,0
2006,45,Acrelandia,0
2006,46,Acrelandia,0
2006,47,Acrelandia,0
2006,48,Acrelandia,0
2006,49,Acrelandia,0
2006,50,Acrelandia,0
2006,51,Acrelandia,0
2006,52,Acrelandia,0
2007,1,Acrelandia,0
2007,2,Acrelandia,1
2007,3,Acrelandia,0
2007,4,Acrelandia,1
2007,5,Acrelandia,0
2007,6,Acrelandia,0
2007,7,Acrelandia,0
2007,8,Acrelandia,0
2007,9,Acrelandia,4
2007,10,Acrelandia,0
2007,11,Acrelandia,1
2007,12,Acrelandia,2
2007,13,Acrelandia,0
2007,14,Acrelandia,0
2007,15,Acrelandia,1
2007,16,Acrelandia,3
2007,17,Acrelandia,2
2007,18,Acrelandia,1
2007,19,Acrelandia,1
2007,20,Acrelandia,0
2007,21,Acrelandia,0
2007,22,Acrelandia,0
2007,23,Acrelandia,0
2007,24,Acrelandia,0
2007,25,Acrelandia,0
2007,26,Acrelandia,0
2007,27,Acrelandia,0
2007,28,Acrelandia,0
2007,29,Acrelandia,0
2007,30,Acrelandia,0
2007,31,Acrelandia,0
2007,32,Acrelandia,0
2007,33,Acrelandia,0
2007,34,Acrelandia,0
2007,35,Acrelandia,0
2007,36,Acrelandia,0
2007,37,Acrelandia,0
2007,38,Acrelandia,0
2007,39,Acrelandia,1
2007,40,Acrelandia,0
2007,41,Acrelandia,0
2007,42,Acrelandia,1
2007,43,Acrelandia,1
2007,44,Acrelandia,0
2007,45,Acrelandia,1
2007,46,Acrelandia,0
2007,47,Acrelandia,0
2007,48,Acrelandia,0
2007,49,Acrelandia,0
2007,50,Acrelandia,0
2007,51,Acrelandia,0
2007,52,Acrelandia,0
2008,1,Acrelandia,0
2008,2,Acrelandia,1
2008,3,Acrelandia,0
2008,4,Acrelandia,0
2008,5,Acrelandia,6
2008,6,Acrelandia,5
2008,7,Acrelandia,0
2008,8,Acrelandia,4
2008,9,Acrelandia,1
2008,10,Acrelandia,0
2008,11,Acrelandia,2
2008,12,Acrelandia,0
2008,13,Acrelandia,5
2008,14,Acrelandia,11
2008,15,Acrelandia,7
2008,16,Acrelandia,4
2008,17,Acrelandia,0
2008,18,Acrelandia,0
2008,19,Acrelandia,0
2008,20,Acrelandia,0
2008,21,Acrelandia,2
2008,22,Acrelandia,0
2008,23,Acrelandia,0
2008,24,Acrelandia,0
2008,25,Acrelandia,0
2008,26,Acrelandia,0
2008,27,Acrelandia,0
2008,28,Acrelandia,0
2008,29,Acrelandia,0
2008,30,Acrelandia,0
2008,31,Acrelandia,0
2008,32,Acrelandia,0
2008,33,Acrelandia,0
2008,34,Acrelandia,0
2008,35,Acrelandia,0
2008,36,Acrelandia,0
2008,37,Acrelandia,0
2008,38,Acrelandia,0
2008,39,Acrelandia,0
2008,40,Acrelandia,0
2008,41,Acrelandia,0
2008,42,Acrelandia,0
2008,43,Acrelandia,0
2008,44,Acrelandia,0
2008,45,Acrelandia,0
2008,46,Acrelandia,0
2008,47,Acrelandia,0
2008,48,Acrelandia,0
2008,49,Acrelandia,0
2008,50,Acrelandia,2
2008,51,Acrelandia,0
2008,52,Acrelandia,0
2008,53,Acrelandia,0
2009,1,Acrelandia,1
2009,2,Acrelandia,3
2009,3,Acrelandia,5
2009,4,Acrelandia,4
2009,5,Acrelandia,10
2009,6,Acrelandia,5
2009,7,Acrelandia,3
2009,8,Acrelandia,5
2009,9,Acrelandia,4
2009,10,Acrelandia,0
2009,11,Acrelandia,0
2009,12,Acrelandia,2
2009,13,Acrelandia,1
2009,14,Acrelandia,0
2009,15,Acrelandia,0
2009,16,Acrelandia,1
2009,17,Acrelandia,1
2009,18,Acrelandia,0
2009,19,Acrelandia,0
2009,20,Acrelandia,1
2009,21,Acrelandia,0
2009,22,Acrelandia,0
2009,23,Acrelandia,0
2009,24,Acrelandia,0
2009,25,Acrelandia,0
2009,26,Acrelandia,1
2009,27,Acrelandia,2
2009,28,Acrelandia,1
2009,29,Acrelandia,0
2009,30,Acrelandia,0
2009,31,Acrelandia,0
2009,32,Acrelandia,0
2009,33,Acrelandia,0
2009,34,Acrelandia,1
2009,35,Acrelandia,0
2009,36,Acrelandia,0
2009,37,Acrelandia,0
2009,38,Acrelandia,0
2009,39,Acrelandia,0
2009,40,Acrelandia,0
2009,41,Acrelandia,0
2009,42,Acrelandia,0
2009,43,Acrelandia,0
2009,44,Acrelandia,0
2009,45,Acrelandia,0
2009,46,Acrelandia,0
2009,47,Acrelandia,0
2009,48,Acrelandia,0
2009,49,Acrelandia,0
2009,50,Acrelandia,1
2009,51,Acrelandia,0
2009,52,Acrelandia,1
2010,1,Acrelandia,6
2010,2,Acrelandia,1
2010,3,Acrelandia,17
2010,4,Acrelandia,21
2010,5,Acrelandia,49
2010,6,Acrelandia,72
2010,7,Acrelandia,44
2010,8,Acrelandia,75
2010,9,Acrelandia,40
2010,10,Acrelandia,17
2010,11,Acrelandia,22
2010,12,Acrelandia,16
2010,13,Acrelandia,18
2010,14,Acrelandia,5
2010,15,Acrelandia,9
2010,16,Acrelandia,8
2010,17,Acrelandia,1
2010,18,Acrelandia,2
2010,19,Acrelandia,1
2010,20,Acrelandia,3
2010,21,Acrelandia,0
2010,22,Acrelandia,0
2010,23,Acrelandia,0
2010,24,Acrelandia,1
2010,25,Acrelandia,1
2010,26,Acrelandia,0
2010,27,Acrelandia,1
2010,28,Acrelandia,0
2010,29,Acrelandia,0
2010,30,Acrelandia,0
2010,31,Acrelandia,0
2010,32,Acrelandia,1
2010,33,Acrelandia,0
2010,34,Acrelandia,0
2010,35,Acrelandia,3
2010,36,Acrelandia,0
2010,37,Acrelandia,0
2010,38,Acrelandia,2
2010,39,Acrelandia,2
2010,40,Acrelandia,3
2010,41,Acrelandia,2
2010,42,Acrelandia,7
2010,43,Acrelandia,14
2010,44,Acrelandia,24
2010,45,Acrelandia,28
2010,46,Acrelandia,32
2010,47,Acrelandia,31
2010,48,Acrelandia,32
2010,49,Acrelandia,35
2010,50,Acrelandia,32
2010,51,Acrelandia,15
2010,52,Acrelandia,9
2011,1,Acrelandia,8
2011,2,Acrelandia,21
2011,3,Acrelandia,16
2011,4,Acrelandia,19
2011,5,Acrelandia,28
2011,6,Acrelandia,26
2011,7,Acrelandia,36
2011,8,Acrelandia,12
2011,9,Acrelandia,8
2011,10,Acrelandia,11
2011,11,Acrelandia,5
2011,12,Acrelandia,12
2011,13,Acrelandia,4
2011,14,Acrelandia,2
2011,15,Acrelandia,2
2011,16,Acrelandia,0
2011,17,Acrelandia,1
2011,18,Acrelandia,0
2011,19,Acrelandia,0
2011,20,Acrelandia,0
2011,21,Acrelandia,0
2011,22,Acrelandia,0
2011,23,Acrelandia,1
2011,24,Acrelandia,0
2011,25,Acrelandia,3
2011,26,Acrelandia,0
2011,27,Acrelandia,0
2011,28,Acrelandia,0
2011,29,Acrelandia,1
2011,30,Acrelandia,0
2011,31,Acrelandia,0
2011,32,Acrelandia,0
2011,33,Acrelandia,0
2011,34,Acrelandia,0
2011,35,Acrelandia,1
2011,36,Acrelandia,1
2011,37,Acrelandia,0
2011,38,Acrelandia,0
2011,39,Acrelandia,1
2011,40,Acrelandia,0
2011,41,Acrelandia,0
2011,42,Acrelandia,0
2011,43,Acrelandia,0
2011,44,Acrelandia,0
2011,45,Acrelandia,1
2011,46,Acrelandia,1
2011,47,Acrelandia,0
2011,48,Acrelandia,0
2011,49,Acrelandia,5
2011,50,Acrelandia,2
2011,51,Acrelandia,5
2011,52,Acrelandia,0
2012,1,Acrelandia,1
2012,2,Acrelandia,3
2012,3,Acrelandia,2
2012,4,Acrelandia,1
2012,5,Acrelandia,3
2012,6,Acrelandia,2
2012,7,Acrelandia,8
2012,8,Acrelandia,15
2012,9,Acrelandia,5
2012,10,Acrelandia,4
2012,11,Acrelandia,4
2012,12,Acrelandia,6
2012,13,Acrelandia,2
2012,14,Acrelandia,1
2012,15,Acrelandia,2
2012,16,Acrelandia,5
2012,17,Acrelandia,2
2012,18,Acrelandia,1
2012,19,Acrelandia,0
2012,20,Acrelandia,0
2012,21,Acrelandia,1
2012,22,Acrelandia,1
2012,23,Acrelandia,0
2012,24,Acrelandia,0
2012,25,Acrelandia,0
2012,26,Acrelandia,0
2012,27,Acrelandia,0
2012,28,Acrelandia,0
2012,29,Acrelandia,0
2012,30,Acrelandia,0
2012,31,Acrelandia,0
2012,32,Acrelandia,0
2012,33,Acrelandia,0
2012,34,Acrelandia,0
2012,35,Acrelandia,0
2012,36,Acrelandia,0
2012,37,Acrelandia,0
2012,38,Acrelandia,0
2012,39,Acrelandia,0
2012,40,Acrelandia,1
2012,41,Acrelandia,0
2012,42,Acrelandia,1
2012,43,Acrelandia,1
2012,44,Acrelandia,2
2012,45,Acrelandia,0
2012,46,Acrelandia,0
2012,47,Acrelandia,0
2012,48,Acrelandia,4
2012,49,Acrelandia,1
2012,50,Acrelandia,1
2012,51,Acrelandia,3
2012,52,Acrelandia,2
2013,1,Acrelandia,2
2013,2,Acrelandia,14
2013,3,Acrelandia,33
2013,4,Acrelandia,23
2013,5,Acrelandia,26
2013,6,Acrelandia,37
2013,7,Acrelandia,33
2013,8,Acrelandia,50
2013,9,Acrelandia,51
2013,10,Acrelandia,48
2013,11,Acrelandia,44
2013,12,Acrelandia,36
2013,13,Acrelandia,39
2013,14,Acrelandia,25
2013,15,Acrelandia,15
2013,16,Acrelandia,19
2013,17,Acrelandia,18
2013,18,Acrelandia,8
2013,19,Acrelandia,12
2013,20,Acrelandia,13
2013,21,Acrelandia,9
2013,22,Acrelandia,4
2013,23,Acrelandia,10
2013,24,Acrelandia,2
2013,25,Acrelandia,7
2013,26,Acrelandia,5
2013,27,Acrelandia,4
2013,28,Acrelandia,3
2013,29,Acrelandia,1
2013,30,Acrelandia,0
2013,31,Acrelandia,1
2013,32,Acrelandia,0
2013,33,Acrelandia,1
2013,34,Acrelandia,0
2013,35,Acrelandia,0
2013,36,Acrelandia,0
2013,37,Acrelandia,0
2013,38,Acrelandia,0
2013,39,Acrelandia,0
2013,40,Acrelandia,0
2013,41,Acrelandia,0
2013,42,Acrelandia,0
2013,43,Acrelandia,2
2013,44,Acrelandia,2
2013,45,Acrelandia,1
2013,46,Acrelandia,0
2013,47,Acrelandia,0
2013,48,Acrelandia,1
2013,49,Acrelandia,4
2013,50,Acrelandia,0
2013,51,Acrelandia,4
2013,52,Acrelandia,0
2014,1,Acrelandia,0
2014,2,Acrelandia,3
2014,3,Acrelandia,5
2014,4,Acrelandia,4
2014,5,Acrelandia,0
2014,6,Acrelandia,0
2014,7,Acrelandia,1
2014,8,Acrelandia,0
2014,9,Acrelandia,3
2014,10,Acrelandia,0
2014,11,Acrelandia,0
2014,12,Acrelandia,0
2014,13,Acrelandia,0
2014,14,Acrelandia,4
2014,15,Acrelandia,0
2014,16,Acrelandia,0
2014,17,Acrelandia,0
2014,18,Acrelandia,0
2014,19,Acrelandia,0
2014,20,Acrelandia,0
2014,21,Acrelandia,0
2014,22,Acrelandia,0
2014,23,Acrelandia,1
2014,24,Acrelandia,0
2014,25,Acrelandia,0
2014,26,Acrelandia,0
2014,27,Acrelandia,1
2014,28,Acrelandia,0
2014,29,Acrelandia,2
2014,30,Acrelandia,0
2014,31,Acrelandia,1
2014,32,Acrelandia,0
2014,33,Acrelandia,1
2014,34,Acrelandia,0
2014,35,Acrelandia,0
2014,36,Acrelandia,0
2014,37,Acrelandia,0
2014,38,Acrelandia,0
2014,39,Acrelandia,0
2014,40,Acrelandia,0
2014,41,Acrelandia,0
2014,42,Acrelandia,0
2014,43,Acrelandia,1
2014,44,Acrelandia,1
2014,45,Acrelandia,0
2014,46,Acrelandia,1
2014,47,Acrelandia,0
2014,48,Acrelandia,1
2014,49,Acrelandia,0
2014,50,Acrelandia,0
2014,51,Acrelandia,0
2014,52,Acrelandia,1
2014,53,Acrelandia,0
2015,1,Acrelandia,0
2015,2,Acrelandia,1
2015,3,Acrelandia,1
2015,4,Acrelandia,1
2015,5,Acrelandia,1
